"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"2",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"3",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"4",-3,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"5",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"6",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"7",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"8",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"9",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"10",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"11",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"12",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"13",1,0,0,2,-1,1,1,-3,2,2,1,1,-1,1,0,2
"14",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"15",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"16",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"17",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"18",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"19",0,0,3,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"20",-3,-3,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"21",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"22",-3,0,-3,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"23",-3,0,1,1,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"24",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"25",-3,-3,-1,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"26",-3,-3,-2,-3,-2,-3,-2,-2,-2,-3,-3,-2,-2,-3,-3,-3
"27",-3,-3,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"28",-2,-1,-3,0,-2,-1,-3,1,-3,-2,-3,-3,-2,-3,-1,-2
"29",-3,0,3,-3,-3,-3,0,-3,-3,-3,-3,-3,-3,-3,-3,-3
"30",-3,-2,0,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"31",-3,-2,1,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"32",2,-1,-1,2,1,-1,-1,0,2,-1,-1,-2,-1,-1,2,-1
"33",1,1,1,2,0,-2,0,-2,0,-2,-3,-3,-3,-3,-3,-3
"34",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"35",-3,-3,3,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"36",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"37",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"38",-2,-2,-1,-1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"39",-1,3,3,3,-2,1,-1,-3,-3,-3,-3,-3,-3,-3,-3,-3
"40",0,2,-1,1,-3,-1,-2,-3,0,-2,-3,-3,-3,-3,-3,-3
"41",-3,0,3,3,-3,-3,-2,-3,-2,-2,-3,-3,-3,-3,-3,-3
"42",-3,-3,-3,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"43",-3,1,3,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"44",2,1,1,3,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"45",-3,-3,-3,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"46",0,2,0,3,-3,-2,-3,-3,-2,-3,-3,-3,-3,-3,-3,-3
"47",0,1,3,3,-3,-1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"48",0,-1,3,0,0,0,0,0,0,0,0,0,-1,-1,-2,0
"49",-3,-1,-1,-1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"50",-1,0,0,1,1,0,0,1,0,0,1,1,1,0,2,1
"51",3,3,3,3,0,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3
"52",2,2,2,2,-1,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3
"53",3,3,3,3,-3,-1,-3,-3,3,-3,-3,-3,-3,-3,-3,-3
