"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",-3,3,3,3,3,-3,3,3,3,-3,3,-3,3,-3,3,3,-3,3,-3,-3,3,3,3,3,3,3,3,3,3,3,-3,3,3,3,3,3,3,3,3,3
"2",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"3",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"4",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"5",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"6",-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"7",-1,2,2,2,-1,2,2,2,2,-1,0,2,2,2,2,2,2,2,2,0,-1,2,2,0,2,2,2,2,3,2,0,2,2,2,2,2,2,3,2,2
"8",-1,1,-2,0,2,-1,-1,0,-1,1,2,-1,1,-1,2,0,2,1,1,1,1,-2,1,0,0,0,1,1,0,1,0,-1,1,0,-1,2,0,-1,-1,1
"9",-1,1,0,3,1,1,1,2,3,-3,0,-2,0,0,0,0,0,-1,-2,0,-2,0,2,0,1,0,1,-1,1,1,2,1,0,1,0,0,1,3,1,3
"10",3,0,1,0,2,0,3,3,3,3,-3,-3,-1,-3,-3,-3,-3,1,-3,-3,-3,-3,3,-3,-3,-2,-3,-3,-3,-3,-3,-3,-2,-3,-3,-3,-3,-3,-3,-3
"11",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"12",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"13",1,3,3,3,3,1,2,3,3,-2,1,3,-2,-3,1,1,-3,-3,-2,-2,-2,1,3,1,3,1,1,2,3,1,3,3,3,3,2,3,3,3,3,3
"14",-3,-1,-2,2,2,0,0,1,3,-3,-3,0,-2,-3,-3,0,-2,-3,-3,-3,-3,1,0,1,-3,1,-3,-2,1,0,-2,-3,0,1,0,-2,1,3,3,1
"15",-3,1,-3,-2,2,0,-3,3,3,-3,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,-3,-2,-3,-3,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,0,-3,1
"16",3,3,3,3,3,3,3,3,3,-2,2,1,1,1,-1,1,-2,-1,-2,-2,-2,3,3,3,2,1,3,1,1,3,3,2,1,1,1,2,3,3,3,3
"17",2,0,2,3,3,1,0,3,3,-3,1,-2,2,-1,-1,0,0,-1,-1,-1,-1,2,3,3,3,1,3,0,2,3,1,1,3,0,2,1,2,3,1,3
